НАСЕЛЕНИЕ, ПОТРЕБЛЯЮЩЕЕ ЕЖЕДНЕВНО НЕ МЕНЕЕ 400 ГРАММОВ ОВОЩЕЙ И ФРУКТОВ (проценты);;;;;;
;Все население;;Городское население;;Сельское население;
;Мужчины;Женщины;Мужчины;Женщины;Мужчины;Женщины
Российская Федерация;     10,59;     11,61;     10,04;     11,07;     12,22;     13,24
Центральный федеральный округ;     10,00;     11,27;     9,35;     10,89;     13,23;     13,10
Белгородская область;     9,17;     7,90;     11,09;     9,87;     5,89;     4,09
Брянская область;     7,17;     10,28;     6,60;     11,70;     8,60;     6,84
Владимирская область;     13,25;     12,69;     9,57;     10,06;     27,80;     21,65
Воронежская область;     15,56;     10,69;     13,54;     8,73;     20,22;     14,76
Ивановская область;     6,99;     5,57;     8,25;     5,70;     1,67;     4,95
Калужская область;     13,11;     8,60;     15,27;     9,48;     5,80;     5,28
Костромская область;     4,67;     7,24;     5,40;     8,85;     3,19;     3,30
Курская область;     12,24;     10,35;     9,07;     6,07;     18,38;     19,28
Липецкая область;     13,89;     14,64;     8,58;     13,43;     21,75;     16,83
Московская область;     12,55;     11,68;     12,90;     11,68;     10,78;     11,68
Орловская область;     13,49;     9,97;     11,78;     8,86;     17,06;     12,35
Рязанская область;     7,57;     11,04;     10,77;     15,62;     0,99;     1,45
Смоленская область;     5,02;     7,61;     4,81;     8,49;     5,54;     5,11
Тамбовская область;     12,08;     13,82;     12,72;     9,00;     11,11;     21,18
Тверская область;     12,20;     18,83;     8,82;     14,43;     21,08;     33,19
Тульская область;     15,46;     20,18;     15,22;     21,88;     16,29;     12,83
Ярославская область;     7,64;     9,02;     5,01;     6,68;     23,91;     19,18
г. Москва;     7,13;     10,61;     7,13;     10,61;-;-
Северо-Западный федеральный округ;     11,44;     13,76;     11,00;     13,25;     13,92;     16,40
Республика Карелия;     15,68;     16,89;     18,43;     18,48;     7,16;     11,33
Республика Коми;     7,71;     11,56;     6,41;     13,61;     12,07;     5,58
Архангельская область;     8,63;     7,76;     6,12;     6,34;     17,47;     12,00
Ненецкий авт. округ;     0,91;     3,93;     1,30;     3,12;     0,00;     5,66
Архангельская область без автономии;     8,91;     7,87;     6,28;     6,43;     18,34;     12,25
Вологодская область;     10,25;     9,39;     11,96;     10,47;     6,09;     6,83
Калининградская область;     10,23;     17,56;     10,68;     17,15;     8,82;     19,01
Ленинградская область;     4,90;     6,56;     4,18;     4,83;     6,27;     9,96
Мурманская область;     9,39;     15,92;     9,70;     16,56;     4,76;     7,28
Новгородская область;     31,24;     36,07;     19,23;     21,57;     65,79;     69,39
Псковская область;     28,95;     29,46;     33,47;     32,74;     18,71;     21,83
 г. Санкт-Петербург;     10,80;     12,70;     10,80;     12,70;-;-
Южный федеральный округ;     19,67;     20,88;     19,16;     20,27;     20,50;     21,94
